,ts,id,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
135,2023-02-24T00:25:20.675000,7463831632,442.13,202.39,72.17,109.99,547.8,928.69,847.17,832.01
136,2023-02-24T00:25:20.680000,7463831633,442.38,202.06,71.77,108.93,547.91,928.77,847.47,831.55
137,2023-02-24T00:25:20.685000,7463831634,442.43,202.01,71.6,109.18,548.07,928.84,847.19,831.55
138,2023-02-24T00:25:20.690000,7463831635,442.55,201.71,72.42,109.51,547.52,929,846.88,831.93
139,2023-02-24T00:25:20.695000,7463831636,442.16,201.51,72.18,109.16,547.41,929.13,847.51,831.73
140,2023-02-24T00:25:20.700000,7463831637,442.48,201.47,72.17,109.3,547.56,929.45,846.82,831.55
141,2023-02-24T00:25:20.705000,7463831638,442.5,201.3,72.2,108.78,547.31,929.32,846.88,831.56
142,2023-02-24T00:25:20.710000,7463831639,442.22,201.48,71.97,109.33,547.68,928.99,847.35,832.13
143,2023-02-24T00:25:20.715000,7463831640,442.14,201.83,72.62,109.15,548.14,929.13,846.91,832.3
144,2023-02-24T00:25:20.720000,7463831641,442.42,201.52,71.76,109.14,547.83,928.28,846.51,831.53
145,2023-02-24T00:25:20.725000,7463831642,442.04,201.05,71.26,109.02,547.73,928.79,846.3,831.87
146,2023-02-24T00:25:20.730000,7463831643,443.07,202.33,72.69,109.41,547.93,928.92,847.61,832.14
147,2023-02-24T00:25:20.735000,7463831644,442.33,202.14,72.21,109.67,548.01,928.76,847.08,831.7
148,2023-02-24T00:25:20.740000,7463831645,441.77,201.18,71.83,109.16,547.85,928.39,846.56,831.83
149,2023-02-24T00:25:20.745000,7463831646,442.82,201.59,72.45,109.97,547.71,929.24,847.18,832.04
150,2023-02-24T00:25:20.750000,7463831647,442.11,202.25,73.01,109.13,547.7,929.63,847.73,831.79
151,2023-02-24T00:25:20.755000,7463831648,441.99,201.49,72.03,109.09,547.51,929.21,846.69,831.66
152,2023-02-24T00:25:20.760000,7463831649,442.46,201.59,71.91,108.93,547.22,928.64,847.1,831.78
153,2023-02-24T00:25:20.765000,7463831650,443.24,201.8,72.29,109.42,547.44,929.46,847.21,831.55
154,2023-02-24T00:25:20.770000,7463831651,441.85,202.22,71.44,109.68,547.59,929.35,847,832.05
155,2023-02-24T00:25:20.775000,7463831652,441.8,201.3,71.57,109.55,547.54,928.55,847.01,831.78
156,2023-02-24T00:25:20.780000,7463831653,441.89,201.75,71.79,109.04,547.68,928.97,846.94,831.73
157,2023-02-24T00:25:20.785000,7463831654,442.75,201.8,71.97,109.45,548,929.06,847.57,831.75
158,2023-02-24T00:25:20.790000,7463831655,442.03,201.59,72.84,109.61,548.03,929.74,847.52,831.69
159,2023-02-24T00:25:20.795000,7463831656,442,201.74,72.51,109.8,547.98,929,847.29,831.6
160,2023-02-24T00:25:20.800000,7463831657,442.56,201.75,72.67,109.05,548,929.11,847.26,831.88
161,2023-02-24T00:25:20.805000,7463831658,442.47,201.95,72.36,109.1,547.59,928.86,847.13,831.64
162,2023-02-24T00:25:20.810000,7463831659,442.33,201.7,72.75,109.34,547.75,929.17,847.31,832.25
